pmcid,title,journal,year,doi,url,sentence,accessions,addgene_ids
PMC11669485,CryptKeeper: a negative design tool for reducing unintentional gene expression in bacteria.,Synth Biol (Oxf),2024,10.1093/synbio/ysae018,https://europepmc.org/article/PMC/PMC11669485,(c) Predicted translational burden of a Dengue virus infectious clone before and after redesign compared to the predicted burden of the mTagBFP ORF from BioBrick K3174006.,K3174006,
PMC11669485,CryptKeeper: a negative design tool for reducing unintentional gene expression in bacteria.,Synth Biol (Oxf),2024,10.1093/synbio/ysae018,https://europepmc.org/article/PMC/PMC11669485,"(b) CryptKeeper burden predictions for the mTagBFP ORF from BioBrick K3174006, the cryptic ORF of mdr1a before and after mutating its start codon, and the cryptic ORF of SCN1A before and after introducing an engineered intron.",K3174006,
PMC11669485,CryptKeeper: a negative design tool for reducing unintentional gene expression in bacteria.,Synth Biol (Oxf),2024,10.1093/synbio/ysae018,https://europepmc.org/article/PMC/PMC11669485,"(d) Predicted total burden of plasmid pSB1C-K3174006, the complete mdr1a cDNA before and after mutating the cryptic ORF start codon, and the full plasmid encoding SCN1A before and after introducing the engineered intron.",K3174006,
PMC12283748,A CRISPR/Cas9-based system using dual-sgRNAs for efficient gene deletion in &lt;i&gt;Mycobacterium abscessus&lt;/i&gt;.,Front Microbiol,2025,10.3389/fmicb.2025.1608274,https://europepmc.org/article/PMC/PMC12283748,"For targeted gene deletion, we developed a dual-sgRNA system based on pKM461 (Addgene #108320).",,108320
PMC12435782,Topo IV is required to allow replisomes to converge and complete replication on the chromosome.,PLoS Genet,2025,10.1371/journal.pgen.1011857,https://europepmc.org/article/PMC/PMC12435782,CL4079 (BW25113 sbcD ::FRT-mini-kan topA2103 ) containing a single base pair deletion in topA at nucleotide 2103 was isolated as a spontaneous secondary mutation that resulted in plasmid instability in laboratory stocks of BW25113 sbcD ::FRT-mini-kan.,BW25113,
PMC12435782,Topo IV is required to allow replisomes to converge and complete replication on the chromosome.,PLoS Genet,2025,10.1371/journal.pgen.1011857,https://europepmc.org/article/PMC/PMC12435782,"To construct a BW25113 topA2103 mutant, the kanamycin-resistance cassette from the sbcD deletion mutant was first removed using FLP recombinase expression from the pCP20 plasmid as described previously [ 103 , 104 ].",BW25113,
PMC12435782,Topo IV is required to allow replisomes to converge and complete replication on the chromosome.,PLoS Genet,2025,10.1371/journal.pgen.1011857,https://europepmc.org/article/PMC/PMC12435782,topA2103 was then linked to a kanamycin-resistance cassette approximately 25 kb away by P1 transduction of ymjA ::Kan from JW1288 and selecting for resistance to kanamycin and plasmid instability to generate CL5110 (BW25113 sbcD ::FRT topA2103 ymjA ::FRT-mini-kan).,BW25113,
PMC12174320,Simple and robust in vivo engineering of plasmid DNA at any copy number in Escherichia coli.,Commun Biol,2025,10.1038/s42003-025-08361-9,https://europepmc.org/article/PMC/PMC12174320,"To this end, we first build a collection of 36 plasmids with different copy numbers, different promoters, and different post-transcriptional control elements: the low (RK2), low-medium (p15A), and medium (pBR322-ROP) copy number plasmids combined with four different promoters: the strong constitutive J23100 promoter and three different inducible promoters: PrhaBAD, Ptrc, and PT7 CONS (an improved version of the T7 promoter 6 ).",J23100,
PMC12174320,Simple and robust in vivo engineering of plasmid DNA at any copy number in Escherichia coli.,Commun Biol,2025,10.1038/s42003-025-08361-9,https://europepmc.org/article/PMC/PMC12174320,"( e ) galK was recombineered into plasmids with the J23100 promoter and a highly translated TIR, resulting in no colonies when plated on selective media with ( f ) low and only a few colonies with ( g ) medium copy number plasmids.",J23100,
PMC12174320,Simple and robust in vivo engineering of plasmid DNA at any copy number in Escherichia coli.,Commun Biol,2025,10.1038/s42003-025-08361-9,https://europepmc.org/article/PMC/PMC12174320,h galK was also recombineered into plasmids with the J23100 promoter and a TIR sequence library resulting in many colonies when plated on selective media with both ( i ) low and ( j ) medium copy number plasmids.,J23100,
PMC11878559,A noncanonical intrinsic terminator in the HicAB toxin-antitoxin operon promotes the transmission of conjugative antibiotic resistance plasmids.,Nucleic Acids Res,2025,10.1093/nar/gkaf125,https://europepmc.org/article/PMC/PMC11878559,"coli K-12 BW25113 (hereafter referred to as K-12) showed that HicA functions as a toxin and Live/Dead staining indicated that HicA toxin is bacteriostatic, with HicB serving as the corresponding antitoxin, since HicA is toxic and HicB is able to reduce HicA toxicity (Fig.",BW25113,
PMC12373285,Deciphering the RNA-based regulation mechanism of the phage-encoded AbiF system in Clostridioides difficile.,PLoS Genet,2025,10.1371/journal.pgen.1011831,https://europepmc.org/article/PMC/PMC12373285,"RCd22 down-regulates abiF Cd expression at the transcriptional level and represses AbiF Cd toxic activity To investigate the regulatory mechanism of the putative AbiF Cd system in the R20291 strain, we first assessed the possibility of a transcriptional control.",R20291,
PMC12373285,Deciphering the RNA-based regulation mechanism of the phage-encoded AbiF system in Clostridioides difficile.,PLoS Genet,2025,10.1371/journal.pgen.1011831,https://europepmc.org/article/PMC/PMC12373285,"Accordingly, the deletion of RCd22 also induced a growth defect and a decreased growth yield in the R20291 strain ( S4B Fig ).",R20291,
PMC12003319,Multiple routes for non-physiological l-threonine uptake in &lt;i&gt;Escherichia coli&lt;/i&gt; K-12.,Front Microbiol,2025,10.3389/fmicb.2025.1579813,https://europepmc.org/article/PMC/PMC12003319,"Strain Mutations (coordinates are in accordance with the U00096.3 genbank entry) Annotation B2055 A932994G lrp T134A Δ[1299499–130,069] Deletion of a region spanning insH21 that encodes the IS5 transposase B2059 A1618475T marC V145E T1475608C ydbD I155I C4509536T R20W substitution in the cryptic insO gene B2071 T4430191A cycA C110S IS5 insertion (1,195 bp in length) between C4494217 and T4494218 Δ[1299499–130,069] Deletion of a region spanning insH21 that encodes the IS5 transposase B2058 G1618486GGAG marC S140SS B2061 T4430540С cycA V226A B2063 A1618880T marC L10Q B2068 C1618877T marC G11E Figure 2 Screening and analysis of chromosomal mutations that suppress threonine uptake defect.",C4494217;T4494218;U00096.3,
PMC12448975,The density of Braun's Lipoprotein determines vesicle production in E. coli.,PLoS One,2025,10.1371/journal.pone.0332156,https://europepmc.org/article/PMC/PMC12448975,"For the lpp deletion strain, we used the strain Escherichia coli (K12-BW25113) acquired from the Keio knockout collection [ 54 ].",BW25113,
PMC12214031,"A-to-I mRNA editing in bacteria can affect protein sequence, disulfide bond formation, and function.",Nucleic Acids Res,2025,10.1093/nar/gkaf584,https://europepmc.org/article/PMC/PMC12214031,coli harbors a five-base deletion in the coding sequence of hokB (positions 1492060–1492064 in NC_000913.3;,NC_000913.3,
PMC11840021,Characterization of the genome editing with miniature DNA nucleases TnpB and IscB in Escherichia coli strains.,Commun Biol,2025,10.1038/s42003-025-07521-1,https://europepmc.org/article/PMC/PMC11840021,"The results demonstrated that the transformation efficiencies of p15A-TnpB (MolecularCloud number: MC_0101509) in MG1655 and BL21(DE3) were lightly less than pCK1 plasmid (control group), indicating that TnpB was less toxic to these strains (Fig.",MC_0101509,
PMC11606274,Designing a multi-epitope construct using immuno-informatic tools to prepare a messenger RNA vaccine against <i>Rhipicephalus microplus</i> ticks.,Vet World,2024,10.14202/vetworld.2024.2235-2247,https://europepmc.org/article/PMC/PMC11606274,"Predicted antigenic score Thinprep and Allertop Bm86 QOE77966 0.958 Nontoxin and nonallergic Subolesin AFQ91885 0.752 Nontoxin and nonallergic ATAQ A0A223PJI9 0.964 Nontoxin and nonallergic HTL epitope identification Prominent in triggering B-cell activation and cytotoxic T-cell responses to foreign antigens, HTL epitopes also play key roles in boosting adaptive immune responses.",AFQ91885;QOE77966,
PMC12366417,Phenotypic characterization and complete genome of a tumorigenic pathobiont Escherichia coli LI60C3.,Gut Pathog,2025,10.1186/s13099-025-00732-1,https://europepmc.org/article/PMC/PMC12366417,"Genome Size (bp) Query Coverage (%) Percent Identity (%) Total Score Escherichia coli strain MG1655 K12 plasmid F-Tn10 MK492260 108,314 57 99.75 85,004 Escherichia coli strain Stbl4 plasmid pF CP076044 98,268 57 99.75 84,952 Escherichia coli K-12 plasmid F DNA AP001918 99,159 57 99.75 84,952 Escherichia coli strain NEB5-alpha_F’Iq plasmid F’Iq CP053608 242,042 57 99.75 84,991 Escherichia coli strain NEB_Turbo plasmid F’ CP053606 231,547 57 99.75 84,996 Footnote: The complete sequence of plasmids was compared using NCBI blasting.",MK492260;AP001918;CP076044;CP053606;CP053608,
PMC12420954,A Safe and Versatile Minicell Platform Derived from &lt;i&gt;Lactiplantibacillus plantarum&lt;/i&gt; for Biotechnological Applications.,J Microbiol Biotechnol,2025,10.4014/jmb.2503.07031,https://europepmc.org/article/PMC/PMC12420954,7 7261 10.1038/s41598-017-07391-6 PMC5543166 --> 28775370 23 MacDiarmid JA Amaro-Mugridge NB Madrid-Weiss J Sedliarou I Wetzel S Kochar K 2009 Sequential treatment of drugresistant tumors with targeted minicells containing siRNA or a cytotoxic drug Nat.,PMC5543166,
PMC12420954,A Safe and Versatile Minicell Platform Derived from &lt;i&gt;Lactiplantibacillus plantarum&lt;/i&gt; for Biotechnological Applications.,J Microbiol Biotechnol,2025,10.4014/jmb.2503.07031,https://europepmc.org/article/PMC/PMC12420954,35 e2503036 10.4014/jmb.2503.03036 PMC12149394 --> 40443240 37 Kim SJ Chang W Oh MK 2022 Escherichia coli minicells with targeted enzymes as bioreactors for producing toxic compounds Metab.,PMC12149394,
PMC11896767,Cardiac-Specific Gene Editing via an AAV9-Tnnt2-SaCas9-miR122TS Vector.,Bio Protoc,2025,10.21769/bioprotoc.5235,https://europepmc.org/article/PMC/PMC11896767,"Stbl4 competent cells (Acmec, catalog number: AC10839-20×100 μL) 5.",AC10839,
PMC12455974,Metabolic remodeling of microorganisms by mobile genetic elements alters mutualistic community composition.,mSystems,2025,10.1128/msystems.00144-25,https://europepmc.org/article/PMC/PMC12455974,"Plasmid-F128 was found to be nearly identical to the DHB4 plasmid F128-(DHB4) (GenBank: NZ_CP014271 ) and the tetracycline resistance genes from Tn 10 (GenBank: AY528506 ), with the exception of the deletion of ypjK , nine non-synonymous substitutions in tetracycline resistance genes, and one non-synonymous substitution in traD ( Table S7 and S10 ).",AY528506,
PMC12283258,Rapid Screening of Plastic-Degrading Enzymes Using an Optimized Cell-Free Protein Synthesis Platform.,J Microbiol Biotechnol,2025,10.4014/jmb.2503.03044,https://europepmc.org/article/PMC/PMC12283258,USA 99 14652 14657 10.1073/pnas.232580399 PMC137474 --> 12409616 30 Ceroni F Algar R Stan GB Ellis T 2015 Quantifying cellular capacity identifies gene expression designs with reduced burden Nat.,PMC137474,
PMC11551753,Pathological R-loops in bacteria from engineered expression of endogenous antisense RNAs whose synthesis is ordinarily terminated by Rho.,Nucleic Acids Res,2024,10.1093/nar/gkae839,https://europepmc.org/article/PMC/PMC11551753,"Genomic DNA was extracted by the phenol–chloroform method from cultures of XL1-Blue strain derivatives grown with IPTG supplementation to early exponential phase, and subjected to Illumina-based WGS (Medgenome Labs, Bengaluru, India) followed by copy number analysis after alignment to the MG1655 reference sequence (accession number U00096.3);",U00096.3,
PMC11551753,Pathological R-loops in bacteria from engineered expression of endogenous antisense RNAs whose synthesis is ordinarily terminated by Rho.,Nucleic Acids Res,2024,10.1093/nar/gkae839,https://europepmc.org/article/PMC/PMC11551753,"Absence of toxicity from engineered antisense transcription at control chromosomal locus AS_b2375 The P tac promoter was also recombineered for antisense transcription at the control chromosomal locus AS_b2375 by the two-step method depicted in panel (ii) of Figure 3A (to generate strain GJ20015/pHYD5701), and the integration event is designated as P tac ::AS_b2375 (In).",GJ20015,
PMC12283256,Bacterial Heavy Metal Resistance in Contaminated Soil.,J Microbiol Biotechnol,2025,10.4014/jmb.2411.11073,https://europepmc.org/article/PMC/PMC12283256,"38 633 659 10.1111/1574-6976.12051 24188101 35 Chatterjee S Kumari S Rath S Priyadarshanee M Das S 2020 Diversity, structure and regulation of microbial metallothionein: metal resistance and possible applications in sequestration of toxic metals Metallomics 12 1637 1655 10.1039/d0mt00140f 32996528 36 Yang R Roshani D Gao B Li P Shang N 2024 Metallothionein: a comprehensive review of its classification, structure, biological functions, and applications Antioxidants 13 825 10.3390/antiox13070825 PMC11273490 --> 39061894 37 Franke S Grass G Nies DH 2001 The product of the ybdE gene of the Escherichia coli chromosome is involved in detoxification of silver ions Microbiology 147 965 972 10.1099/00221287-147-4-965 11283292 38 Rahman Z 2020 An overview on heavy metal resistant microorganisms for simultaneous treatment of multiple chemical pollutants at co-contaminated sites, and their multipurpose application J.",PMC11273490,
PMC12321266,"Persistence phenotype of adherent-invasive &lt;i&gt;Escherichia coli&lt;/i&gt; in response to ciprofloxacin, revealing high-persistence strains.",Microb Cell,2025,10.15698/mic2025.07.854,https://europepmc.org/article/PMC/PMC12321266,Strain/plasmid Comments Source LF82 AIEC reference strain Gift from Olivier Espéli LF82 Δ htrA ::Km LF82 htrA deletion mutant Gift from Olivier Espéli NRG857c AIEC reference strain Gift from Alfredo Torres NRG857c Δ htrA ::Gm NRG857c htrA deletion mutant This work NRG857c(Cu) NRG857c strain cured of its resistance plasmid [19] Gift from Alfredo Torres H10407 Enterotoxigenic E.,H10407,
PMC12302355,Cas9-independent tracrRNA cytotoxicity in &lt;i&gt;Lacticaseibacillus paracasei&lt;/i&gt;.,Microlife,2025,10.1093/femsml/uqaf013,https://europepmc.org/article/PMC/PMC12302355,"pmc Microlife Microlife microlife microLife 2633-6693 Oxford University Press 12302355 10.1093/femsml/uqaf013 uqaf013 Research Article CRISPR-Cas AcademicSubjects/SCI01150 Cas9-independent tracrRNA cytotoxicity in Lacticaseibacillus paracasei Arifah Adini Q Helmholtz Institute for RNA-based Infection Research (HIRI), Helmholtz Center for Infection Research , 97080 Würzburg , Germany Vento Justin M Department of Chemical and Biomolecular Engineering, North Carolina State University , Raleigh, NC 27695 , United States Kurrer Isabella Helmholtz Institute for RNA-based Infection Research (HIRI), Helmholtz Center for Infection Research , 97080 Würzburg , Germany Achmedov Tatjana Helmholtz Institute for RNA-based Infection Research (HIRI), Helmholtz Center for Infection Research , 97080 Würzburg , Germany https://orcid.org/0000-0003-0650-9943 Beisel Chase L Helmholtz Institute for RNA-based Infection Research (HIRI), Helmholtz Center for Infection Research , 97080 Würzburg , Germany Medical Faculty, University of Würzburg , 97080 Würzburg , Germany Corresponding author.",SCI01150,
PMC11796401,Shared mechanisms of enhanced plasmid maintenance and antibiotic tolerance mediated by the VapBC toxin:antitoxin system.,mBio,2025,10.1128/mbio.02616-24,https://europepmc.org/article/PMC/PMC11796401,"Therefore, the native vapBC promoter in pSTAB2 harboring the vapBC tolerance mutations was replaced with the J23101 constitutive promoter, and plasmid loss assessed.",J23101,
PMC10887614,Local Genomic Instability of the <i>SpTransformer</i> Gene Family in the Purple Sea Urchin Inferred from BAC Insert Deletions.,Genes (Basel),2024,10.3390/genes15020222,https://europepmc.org/article/PMC/PMC10887614,"BAC Insert Screens SpTrf Gene Copies in BAC Inserts BAC Clone Name 1 GenBank Accession Number Colonies Screened for BAC Insert Size BACs with Deletions Colonies Screened Gene Copies Expected Gene Copies in 8 BACs with Short Inserts BAC-7096 BK007096 40 4 (10%) 8 3 3, 2, 2, 3, 3, 3, 3, 3 BAC-51 KU668451 34 1 (3%) 8 4 4, 4, 4, 3, 4, 4, 4, 4 BAC-52 KU668452 40 3 (7.5%) 8 4 4, 0, 4, 0, 4, 1, 4, 2 BAC-67 PP082967 40 0 (0%) 8 1 1, 1, 1, 1, 1, 1, 1, 1 1 Abbreviated BAC accession numbers are used as clone names.",KU668452;PP082967;BK007096;KU668451,
PMC10887614,Local Genomic Instability of the <i>SpTransformer</i> Gene Family in the Purple Sea Urchin Inferred from BAC Insert Deletions.,Genes (Basel),2024,10.3390/genes15020222,https://europepmc.org/article/PMC/PMC10887614,"PFGE 2 , Sequence SpTrf Genes in Locus 1 Allele 1 Analyses 3 to Identify SpTrf Gene Complement BAC-51 KU668451 na 4 Full-length 157,542 bp All genes present Not I digest Gene amplicons BAC-51-con 5 na 6 1 Full-length 115,850 bp 7 All genes present Not I digest Gene amplicons Virtual digests Insert sequence BAC-51-15 PP082968 10 Short 67,180 bp 8 Deletion of A2 only Not I digest Gene amplicons Virtual digests Insert sequence BAC-52 KU668452 na 4 Full-length 144,728 bp All genes present Gene amplicons BAC-52-con 5 na 6 1 Full-length 124,749 bp 7 All genes present Not I digest Gene amplicons Virtual digests Insert sequence BAC-52-4c na 6 10 Full-length 76,739 bp 7 All genes deleted 9 Not I digest Gene amplicons Insert sequence BAC-52-2b PP082969 10 Short 36,374bp 8 All genes deleted except A2 Not I digest Gene amplicons Virtual digests Insert sequence BAC-52-19 na 10 Short Not sequenced All genes deleted Not I digest Gene amplicons BAC-52-4 na 10 Short Not sequenced All genes present Not I digest Gene amplicons Virtual digests 1 Abbreviated BAC accession numbers are used as clone names.",KU668452;PP082969;PP082968;KU668451,
PMC12280049,On the Difficulty to Detect Carbapenem Resistance in the Environment: Characterisation of Escherichia coli With Reduced Carbapenem Susceptibility Isolated in a French River.,Environ Microbiol Rep,2025,10.1111/1758-2229.70162,https://europepmc.org/article/PMC/PMC12280049,"The sequence of the OmpC coding gene was identical in all six isolates and differed from the reference sequence (K00541.1) by 37 SNPs, a 12‐nucleotide deletion in position 544 (relative to the reference sequence) and a 12‐nucleotide insertion in position 921.",K00541.1,
